dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.09,Neural vs Analytical,23.881858825683594,23.905561447143555,2.5626938343048096
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.1,Analytical vs GT,31.570173263549805,32.16789245605469,4.786316394805908
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.1,Neural vs GT,22.95881462097168,22.846891403198242,2.167288064956665
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.1,Neural vs Analytical,23.392833709716797,23.661487579345703,2.4905691146850586
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.15,Analytical vs GT,25.140731811523438,25.154319763183594,2.635928153991699
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.15,Neural vs GT,21.469402313232422,21.385910034179688,1.8723984956741333
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.15,Neural vs Analytical,24.171791076660156,23.943288803100586,2.5482871532440186
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.2,Analytical vs GT,21.604860305786133,21.750036239624023,2.2504963874816895
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.2,Neural vs GT,19.861080169677734,19.97516632080078,1.5707505941390991
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.2,Neural vs Analytical,25.287336349487305,25.11129379272461,2.7567219734191895
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.25,Analytical vs GT,20.000267028808594,20.2923641204834,1.7892085313796997
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.25,Neural vs GT,19.204734802246094,19.287303924560547,1.604690432548523
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.25,Neural vs Analytical,27.500202178955078,27.00225067138672,3.3813164234161377
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.3,Analytical vs GT,18.78030776977539,18.744325637817383,1.4223086833953857
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.3,Neural vs GT,18.660078048706055,18.3095760345459,1.3426347970962524
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.3,Neural vs Analytical,28.590803146362305,28.5477237701416,2.7993383407592773
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.35,Analytical vs GT,18.126014709472656,18.175336837768555,1.4349921941757202
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.35,Neural vs GT,17.837608337402344,17.831579208374023,1.4554109573364258
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.35,Neural vs Analytical,29.870174407958984,29.287635803222656,2.9475207328796387
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.4,Analytical vs GT,17.366214752197266,17.296890258789062,1.317277431488037
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.4,Neural vs GT,17.241840362548828,17.131559371948242,1.3230291604995728
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.4,Neural vs Analytical,30.227989196777344,30.267114639282227,2.7924909591674805
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.45,Analytical vs GT,17.177536010742188,17.10809898376465,1.4856784343719482
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.45,Neural vs GT,17.06825828552246,16.984973907470703,1.438177227973938
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.45,Neural vs Analytical,30.801067352294922,30.676931381225586,2.364786386489868
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.5,Analytical vs GT,16.551315307617188,16.65924072265625,1.4570717811584473
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.5,Neural vs GT,16.535871505737305,16.519458770751953,1.455039620399475
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.5,Neural vs Analytical,31.38185691833496,31.049543380737305,2.1771671772003174
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.6,Analytical vs GT,15.65377140045166,15.776159286499023,1.2209436893463135
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.6,Neural vs GT,15.53835678100586,15.672150611877441,1.1853705644607544
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.6,Neural vs Analytical,32.16081237792969,31.773176193237305,2.159175157546997
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.7,Analytical vs GT,15.09378433227539,15.137972831726074,1.3779044151306152
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.7,Neural vs GT,15.043096542358398,15.076948165893555,1.377658486366272
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.7,Neural vs Analytical,31.797161102294922,31.896717071533203,1.8761897087097168
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.8,Analytical vs GT,14.896361351013184,15.014659881591797,1.543575644493103
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.8,Neural vs GT,14.821413040161133,14.981358528137207,1.5523196458816528
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.8,Neural vs Analytical,32.899009704589844,32.71932601928711,1.990424394607544
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.9,Analytical vs GT,14.470243453979492,14.539560317993164,1.5131171941757202
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.9,Neural vs GT,14.47153091430664,14.502331733703613,1.516478180885315
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.9,Neural vs Analytical,32.7110595703125,32.86927032470703,1.632656455039978
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,1.0,Analytical vs GT,13.925960540771484,13.955953598022461,1.4415843486785889
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,1.0,Neural vs GT,13.76473331451416,13.924138069152832,1.421522617340088
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,1.0,Neural vs Analytical,32.43568420410156,32.578189849853516,1.6444462537765503
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.01,Analytical vs GT,79.99996948242188,79.99003601074219,0.04492078721523285
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.01,Neural vs GT,42.212894439697266,42.27931594848633,1.435060977935791
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.01,Neural vs Analytical,42.212890625,42.279319763183594,1.435058832168579
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.02,Analytical vs GT,79.99980163574219,79.71328735351562,1.459952473640442
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.02,Neural vs GT,38.1190185546875,38.15837097167969,1.4273936748504639
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.02,Neural vs Analytical,38.119022369384766,38.158416748046875,1.4273786544799805
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.03,Analytical vs GT,79.99958801269531,79.18620300292969,2.532092809677124
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.03,Neural vs GT,35.99666976928711,35.80258560180664,1.6139752864837646
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.03,Neural vs Analytical,35.996665954589844,35.802574157714844,1.6139447689056396
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.04,Analytical vs GT,79.99569702148438,77.06707763671875,6.533013343811035
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.04,Neural vs GT,34.029335021972656,33.89872741699219,1.6912599802017212
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.04,Neural vs Analytical,34.029335021972656,33.901832580566406,1.6947474479675293
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.05,Analytical vs GT,79.9864730834961,75.5879898071289,8.066326141357422
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.05,Neural vs GT,32.80786895751953,32.653446197509766,1.8218647241592407
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.05,Neural vs Analytical,32.80787658691406,32.66089630126953,1.8288062810897827
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.06,Analytical vs GT,79.93438720703125,73.66207885742188,9.602714538574219
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.06,Neural vs GT,31.475175857543945,31.432870864868164,1.8106769323349
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.06,Neural vs Analytical,31.48457908630371,31.43880844116211,1.8141142129898071
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.07,Analytical vs GT,75.94413757324219,70.41545867919922,10.944581985473633
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.07,Neural vs GT,30.568866729736328,30.71100425720215,1.9918099641799927
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.07,Neural vs Analytical,30.569650650024414,30.725069046020508,2.005463123321533
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.08,Analytical vs GT,73.55831909179688,68.10523223876953,12.646326065063477
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.08,Neural vs GT,30.08229637145996,29.83062171936035,1.920364499092102
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.08,Neural vs Analytical,30.09389305114746,29.852455139160156,1.9388210773468018
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.09,Analytical vs GT,65.1008529663086,63.208038330078125,13.642921447753906
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.09,Neural vs GT,29.58574867248535,29.210206985473633,1.884951114654541
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.09,Neural vs Analytical,29.710956573486328,29.25424575805664,1.9137763977050781
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.1,Analytical vs GT,61.55720520019531,61.854156494140625,14.656058311462402
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.1,Neural vs GT,28.81586265563965,28.486190795898438,1.8040201663970947
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.1,Neural vs Analytical,28.86109161376953,28.570276260375977,1.8632042407989502
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.15,Analytical vs GT,43.688758850097656,46.48276901245117,11.113690376281738
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.15,Neural vs GT,26.48944854736328,26.27884292602539,1.990299105644226
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.15,Neural vs Analytical,26.650012969970703,26.491056442260742,2.069420099258423
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.2,Analytical vs GT,34.662532806396484,37.486778259277344,8.05893611907959
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.2,Neural vs GT,24.37980079650879,24.524944305419922,1.8845162391662598
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.2,Neural vs Analytical,25.490917205810547,25.230119705200195,2.2220988273620605
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.25,Analytical vs GT,30.1527099609375,30.939664840698242,5.224637031555176
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.25,Neural vs GT,23.09718132019043,23.236536026000977,1.979809284210205
FashionMNIST,10000,LocalEquivUNet2dCondModel,denoising,False,True,0.25,Neural vs Analytical,24.568159103393555,24.70418930053711,2.6289103031158447
